model,horizon,slope,slope_method,score,loss
openai_o3,117.6137,0.6000,guess,0.7766,0.0005
openai_o4_mini,77.7782,0.6000,guess,0.7487,0.0088
anthropic_claude_3_7_sonnet,63.2496,0.6000,guess,0.7233,0.0022
openai_o1,51.4349,0.6000,guess,0.6959,0.0062
anthropic_claude_3_5_sonnet_latest,27.6603,0.6000,guess,0.6504,0.0064
openai_o1_preview,27.6603,0.6000,guess,0.6399,0.0041
anthropic_claude_3_5_sonnet_old,18.2918,0.6000,guess,0.6092,0.0037
openai_gpt_4_1106,9.8369,0.6000,guess,0.5470,0.0033
openai_gpt_4o_2024_05_13,9.8369,0.6000,guess,0.5530,0.0027
anthropic_claude_3_opus,7.9994,0.6000,guess,0.5265,0.0063
openai_gpt_4_0314,6.5051,0.6000,guess,0.5149,0.0011
openai_gpt_4_turbo,6.5051,0.6000,guess,0.5185,0.0025
openai_gpt_4_0125,5.2900,0.6000,guess,0.5021,0.0024
openai_gpt_3_5_turbo_instruct,0.8227,0.6000,guess,0.3803,0.0088
openai_davinci_002,0.2379,0.6000,guess,0.2804,0.0021
openai_gpt_2,0.0688,0.6000,guess,0.1730,0.0086
