task_name,average_time_seconds,min_time,max_time,num_variations
reach_target,2.117,1.600,3.100,3
close_box,8.450,8.450,8.450,1
close_microwave,4.450,4.450,4.450,1
plug_charger_in_power_supply,9.800,9.800,9.800,1
toilet_seat_down,5.700,5.700,5.700,1
take_umbrella_out_of_umbrella_stand,4.500,4.500,4.500,1
put_umbrella_in_umbrella_stand,8.300,8.300,8.300,1
slide_cabinet_open,9.400,9.400,9.400,1
close_fridge,6.650,6.650,6.650,1
pick_and_lift,7.600,6.050,9.100,3
open_box,8.850,8.850,8.850,1
open_microwave,7.900,7.900,7.900,1
unplug_charger,5.650,5.650,5.650,1
toilet_seat_up,10.900,10.900,10.900,1
open_fridge,11.750,11.750,11.750,1
turn_tap,7.200,5.550,8.850,2
light_bulb_in,10.267,8.950,11.000,3
basketball_in_hoop,6.700,6.700,6.700,1
open_window,8.100,8.100,8.100,1
close_door,6.900,6.900,6.900,1
push_button,3.950,3.150,4.650,3
put_item_in_drawer,15.400,14.250,16.700,3
open_drawer,5.933,5.450,6.300,3
close_drawer,4.500,4.250,4.850,3
turn_oven_on,5.800,5.800,5.800,1
light_bulb_out,10.133,8.200,11.550,3
tv_on,8.950,8.950,8.950,1
open_oven,13.700,13.700,13.700,1
open_door,7.300,7.300,7.300,1
take_item_out_of_drawer,14.467,13.850,15.300,3
beat_the_buzz,7.700,7.700,7.700,1
block_pyramid,34.967,28.950,39.200,3
change_clock,10.150,10.150,10.150,1
close_jar,9.250,7.800,11.700,3
close_laptop_lid,8.200,8.200,8.200,1
empty_container,76.917,19.650,189.950,3
empty_dishwasher,26.500,26.500,26.500,1
get_ice_from_fridge,10.400,10.400,10.400,1
hang_frame_on_hanger,11.100,11.100,11.100,1
insert_onto_square_peg,8.400,7.900,9.100,3
put_rubbish_in_bin,7.750,7.750,7.750,1
put_shoes_in_box,20.800,20.800,20.800,1
put_toilet_roll_on_stand,9.950,9.950,9.950,1
put_tray_in_oven,28.850,28.850,28.850,1
reach_and_drag,8.883,8.100,9.950,3
remove_cups,13.650,7.200,20.100,2
scoop_with_spatula,7.550,7.550,7.550,1
set_the_table,49.800,49.800,49.800,1
setup_checkers,15.283,9.750,23.450,3
slide_block_to_target,4.450,4.450,4.450,1
hockey,9.150,9.150,9.150,1
insert_usb_in_computer,7.700,7.700,7.700,1
press_switch,4.200,4.200,4.200,1
play_jenga,4.700,4.700,4.700,1
meat_off_grill,5.225,5.200,5.250,2
hit_ball_with_queue,6.650,6.650,6.650,1
screw_nail,13.750,13.750,13.750,1
lamp_off,4.000,4.000,4.000,1
lamp_on,6.100,6.100,6.100,1
meat_on_grill,8.775,6.150,11.400,2
move_hanger,7.950,7.950,7.950,1
open_jar,8.167,7.800,8.850,3
open_wine_bottle,6.150,6.150,6.150,1
place_cups,19.683,8.500,30.650,3
place_hanger_on_rack,11.100,11.100,11.100,1
place_shape_in_shape_sorter,9.617,7.300,12.750,3
put_bottle_in_fridge,17.850,17.850,17.850,1
put_knife_in_knife_block,7.550,7.550,7.550,1
put_money_in_safe,9.700,8.950,10.450,3
put_plate_in_colored_dish_rack,13.350,13.150,13.450,3
slide_cabinet_open_and_place_cups,16.400,16.350,16.450,2
stack_blocks,22.083,13.100,32.600,3
stack_cups,14.967,9.800,19.500,3
stack_wine,9.150,9.150,9.150,1
straighten_rope,9.700,9.700,9.700,1
sweep_to_dustpan,6.100,6.100,6.100,1
take_cup_out_from_cabinet,9.500,9.500,9.500,1
take_frame_off_hanger,7.350,7.350,7.350,1
take_lid_off_saucepan,3.850,3.850,3.850,1
take_money_out_safe,7.667,7.450,7.950,3
take_off_weighing_scales,7.433,6.500,9.000,3
take_plate_off_colored_dish_rack,7.333,6.450,7.850,3
take_shoes_out_of_box,22.900,22.900,22.900,1
take_toilet_roll_off_stand,5.250,5.250,5.250,1
take_usb_out_of_computer,3.550,3.550,3.550,1
water_plants,5.300,5.300,5.300,1
wipe_desk,11.700,11.700,11.700,1
change_channel,7.800,7.800,7.800,2
open_grill,9.650,9.650,9.650,1
close_grill,3.650,3.650,3.650,1
solve_puzzle,5.300,5.300,5.300,1
pick_up_cup,4.283,4.050,4.450,3
phone_on_base,14.600,14.600,14.600,1
pour_from_cup_to_cup,11.200,11.100,11.300,2
put_knife_on_chopping_board,7.700,7.700,7.700,1
put_books_on_bookshelf,23.733,8.950,45.300,3
push_buttons,6.233,3.250,8.400,3
put_groceries_in_cupboard,10.817,8.800,11.950,3
take_tray_out_of_oven,17.550,17.550,17.550,1
